id,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped
965700,119.0,799.0,2499.0,500.0,50.0,4,40.0,2,31,True,22,52,82,344,2015-11-07
8757475,160.0,1000.0,,150.0,65.0,4,20.0,2,1125,True,10,27,33,285,2015-11-07
6955247,169.0,799.0,1975.0,,,2,0.0,1,1125,True,29,59,89,364,2015-11-07
2466250,950.0,,,,199.0,1,0.0,3,1125,True,30,60,90,365,2015-11-07
2367942,150.0,650.0,1200.0,250.0,100.0,1,0.0,2,1125,True,0,0,0,0,2015-11-07
5581658,80.0,,,,,1,0.0,1,1125,True,28,53,53,271,2015-11-07
762400,795.0,,,1000.0,,10,50.0,2,14,True,13,36,64,303,2015-11-07
1846411,410.0,,,,85.0,4,100.0,3,1125,True,30,56,86,357,2015-11-07
4179399,149.0,,,,120.0,1,0.0,2,165,True,0,0,0,51,2015-11-07
4137791,175.0,1100.0,,150.0,25.0,2,25.0,1,1125,True,0,15,18,293,2015-11-07
2302877,99.0,650.0,2500.0,700.0,45.0,1,30.0,1,1125,True,20,50,80,355,2015-11-07
1589824,750.0,,,3000.0,200.0,1,0.0,3,14,True,20,42,64,259,2015-11-07
5489353,215.0,1200.0,,180.0,,3,0.0,2,7,True,0,0,0,227,2015-11-07
5419307,89.0,,,400.0,79.0,1,0.0,1,1125,True,8,38,68,343,2015-11-07
5162885,400.0,,,,75.0,1,0.0,2,1125,True,28,58,88,363,2015-11-07
7325656,1899.0,,,,235.0,1,0.0,2,1125,True,0,0,0,0,2015-11-07
5457997,288.0,,,,,1,0.0,1,1125,True,0,0,0,229,2015-11-07
2508934,1000.0,,,,,1,0.0,1,1125,True,30,60,90,365,2015-11-07
9128136,300.0,,,,,1,0.0,1,1125,True,0,0,0,0,2015-11-07
5851461,295.0,1370.0,4500.0,,85.0,1,0.0,2,1125,True,13,32,35,279,2015-11-07
706950,2250.0,12000.0,,2500.0,250.0,1,0.0,5,7,True,30,60,90,365,2015-11-07
8815829,185.0,780.0,2950.0,,60.0,4,15.0,2,1125,True,26,56,86,361,2015-11-07
4311590,150.0,,,150.0,,1,0.0,3,1125,True,30,60,90,365,2015-11-07
4135953,600.0,,,500.0,175.0,1,0.0,3,10,True,30,57,87,362,2015-11-07
7980411,280.0,,,,,1,0.0,1,1125,True,0,0,0,52,2015-11-07
2500784,150.0,,,,50.0,1,0.0,1,1125,True,30,60,90,365,2015-11-07
3163510,115.0,,,500.0,99.0,4,10.0,1,1125,True,17,47,77,352,2015-11-07
4539974,1450.0,,,,300.0,1,0.0,6,1125,True,1,31,61,336,2015-11-07
2378661,230.0,1300.0,4500.0,250.0,80.0,4,0.0,2,1125,True,26,56,86,361,2015-11-07
333442,450.0,2700.0,9000.0,500.0,150.0,6,25.0,2,365,True,22,52,82,351,2015-11-07
4267075,299.0,,,,145.0,1,0.0,2,180,True,18,48,78,353,2015-11-07
5426241,250.0,,,250.0,60.0,1,0.0,5,1125,True,18,43,73,348,2015-11-07
8588504,59.0,351.0,1239.0,100.0,10.0,1,5.0,2,30,True,11,33,55,55,2015-11-07
5525367,200.0,,,,,1,0.0,1,1125,True,30,60,90,365,2015-11-07
76497,170.0,,,350.0,35.0,2,25.0,2,5,True,29,59,89,361,2015-11-07
8081718,899.0,,,,120.0,1,0.0,2,1125,True,22,47,75,345,2015-11-07
5319514,1725.0,,,1000.0,200.0,1,0.0,3,3,True,30,60,90,365,2015-11-07
8606191,300.0,,,,,1,0.0,2,1125,True,1,1,1,7,2015-11-07
7324040,225.0,,,,,1,0.0,1,1125,True,30,60,90,365,2015-11-07
699477,200.0,,,,,1,0.0,1,1125,True,28,58,88,178,2015-11-07
5395702,395.0,,,100.0,80.0,1,0.0,4,7,True,30,60,90,365,2015-11-07
339106,900.0,,,1000.0,,1,0.0,5,14,True,30,60,90,365,2015-11-07
4085163,949.0,,19895.0,750.0,150.0,1,0.0,3,1125,True,18,38,64,334,2015-11-07
3986925,595.0,4500.0,12000.0,1000.0,75.0,1,0.0,3,30,True,30,60,90,365,2015-11-07
5592816,140.0,,,,,1,0.0,1,1125,True,0,0,0,217,2015-11-07
939927,225.0,,4000.0,500.0,60.0,4,0.0,2,14,True,30,60,90,365,2015-11-07
3742347,80.0,,,,,1,0.0,1,1125,True,10,34,64,64,2015-11-07
4304511,600.0,,,,45.0,1,0.0,3,10,True,30,60,90,365,2015-11-07
4861616,222.0,,,,125.0,1,0.0,2,1125,True,26,56,86,358,2015-11-07
896731,300.0,2100.0,9000.0,,,1,0.0,1,30,True,30,60,90,365,2015-11-07
4872607,104.0,666.0,2352.0,1000.0,20.0,2,15.0,1,1125,True,23,53,83,358,2015-11-07
7887554,140.0,900.0,,100.0,15.0,2,0.0,1,1125,True,28,58,88,363,2015-11-07
4016112,275.0,,,450.0,75.0,1,0.0,2,1125,True,30,60,90,365,2015-11-07
9165514,259.0,1599.0,7500.0,500.0,100.0,1,30.0,1,1125,True,14,14,14,14,2015-11-07
3988298,119.0,,,500.0,99.0,4,11.0,1,1125,True,17,41,67,340,2015-11-07
6445962,145.0,,3275.0,,30.0,1,0.0,1,1125,True,16,45,75,348,2015-11-07
3911693,109.0,650.0,2400.0,,,1,0.0,2,1125,True,14,44,74,265,2015-11-07
8499271,249.0,,,,,1,0.0,2,1125,True,30,60,90,365,2015-11-07
5476443,85.0,,,100.0,20.0,1,0.0,2,14,True,7,23,23,66,2015-11-07
3551798,450.0,,,,135.0,1,0.0,2,185,True,19,49,78,342,2015-11-07
70703,400.0,,,300.0,100.0,4,100.0,2,14,True,30,60,90,365,2015-11-07
4076296,450.0,,,550.0,125.0,6,100.0,2,1125,True,30,60,90,365,2015-11-07
8609978,45.0,,,,,1,0.0,1,1125,True,16,28,53,98,2015-11-07
5693812,108.0,,,,30.0,2,50.0,3,30,True,15,40,66,110,2015-11-07
